Beastie Boys, Licensed to Ill
Beastie Boys, Paul’s Boutique
Big Daddy Kane, Long Live the Kane
Big Daddy Kane, It’s a Big Daddy Thing
Bone Thugs-n-Harmony, E. 1999 Eternal
Boogie Down Productions, Criminal Minded
Boogie Down Productions, By All Means Necessary
Dr. Dre, 2001
DMX, It’s Dark and Hell is Hot
DMX, …And Then There Was X
Eazy-E, Boyz-N-The-Hood
Eminem, The Slim Shady LP
Eminem, The Marshall Mathers LP
Eric B. and Rakim, Paid in Full
Eric B. and Rakim, Follow the Leader
Eric B. and Rakim, Let the Rhythm Hit ’Em
Fabolous, Ghetto Fabolous
Fabolous, Street Dreams
Ice Cube, AmeriKKKa's Most Wanted
Ice Cube, Death Certificate
Jay-Z, Reasonable Doubt
Jay-Z, The Blueprint
Kool G Rap and DJ Polo, Road to the Riches
Kool G Rap and DJ Polo, Wanted: Dead or Alive
Lil’ Wayne, Tha Carter II
Lil’ Wayne, Tha Carter III
LL Cool J, Radio
LL Cool J, Bigger and Deffer
MC Hammer, "Please Hammer, Don’t Hurt ’Em"
MC Hammer, Too Legit to Quit
The Notorious B.I.G, Ready to Die
The Notorious B.I.G, Life After Death
N.W.A, Straight Outta Compton
Outkast, Southernplayalisticadillacmuzik
Outkast, ATLiens
Outkast, Aquemini
Pharoahe Monch, Internal Affairs
Public Enemy, It Takes a Nation of Millions to Hold Us Back
Public Enemy, Fear of a Black Planet
Run-D.M.C, Run-D.M.C.
Run-D.M.C, Raising Hell
Scarface of the Geto Boys, Mr. Scarface is Back
Scarface, The Diary
Timbaland and Magoo, Indecent Proposal
Will Smith, Big Willie Style
Will Smith, Lost and Found
2Pac, Me Against the World
50 Cent, Get Rich or Die Tryin'
50 Cent, The Massacre
